filename,line_number,problem_description
dist/diagrams/gemini.html,L279,Remove this commented out code.
dist/embed.html,L15,Meta viewport disables zoom via user-scalable=no.
dist/index.html,L15,Meta viewport disables zoom via user-scalable=no.
dist/multi.html,L16,Meta viewport disables zoom via user-scalable=no.
src/container/browsercontainer.ts,L35,Use `new Array()` instead of `Array()`.
src/container/browsercontainer.ts,L126,Use `new Array()` instead of `Array()`.
src/container/browsercontainer.ts,L146,Use `new Array()` instead of `Array()`.
src/container/container.ts,L23,'../view/notification' imported multiple times.
src/container/container.ts,L28,'../view/notification' imported multiple times.
src/container/container.ts,L66,'../view/notification' imported multiple times.
src/controller/controller.ts,L17,Use `export…from` to re-export `BeginEvent`.
src/controller/controller.ts,L17,Use `export…from` to re-export `BeginEvent`.
src/controller/controller.ts,L17,Use `export…from` to re-export `BeginEvent`.
src/controller/controller.ts,L17,Use `export…from` to re-export `BeginEvent`.
src/controller/controller.ts,L17,Use `export…from` to re-export `BeginEvent`.
src/controller/controller.ts,L17,Use `export…from` to re-export `BeginEvent`.
src/controller/controller.ts,L69,Use `export…from` to re-export `BeginEvent`.
src/controller/controller.ts,L72,Use `export…from` to re-export `BeginEvent`.
src/controller/end.ts,L9,Member 'result' is never reassigned; mark it as `readonly`.
src/controller/rules/nineball.ts,L151,Unexpected negated condition.
src/controller/rules/nineball.ts,L285,Unexpected negated condition.
src/controller/rules/snooker.ts,L107,Prefer `.some(…)` over non-zero length check from `.filter(…)`.
src/controller/rules/snooker.ts,L161,Prefer `.some(…)` over non-zero length check from `.filter(…)`.
src/controller/rules/snookerutils.ts,L53,'If' statement should not be the only statement in 'else' block
src/controller/rules/snookerutils.ts,L104,'If' statement should not be the only statement in 'else' block
src/controller/watchshot.ts,L38,This assertion is unnecessary since it does not change the type of the expression.
src/diagram/diagramcontainer.ts,L21,Use `new Array()` instead of `Array()`.
src/diagram/diagramcontainer.ts,L79,Use `new Array()` instead of `Array()`.
src/diagram/impulseplot.ts,L26,Prefer `globalThis` over `window`.
src/diagram/real/aiminputs.ts,L2,Member 'aimBall' is never reassigned; mark it as `readonly`.
src/diagram/real/aiminputs.ts,L3,Member 'aimBall' is never reassigned; mark it as `readonly`.
